factor_name,quality_status,predictiveness_status,redundancy_status,recommendation,reasons
bp,ok,weak,redundant,review,weak_rank_ic;high_corr_with_ep;high_corr_with_size
ep,ok,ok,redundant,review,high_corr_with_bp;high_corr_with_size
mom_20,not_built,ok,ok,keep,
price_volume_corr_20,not_built,ok,ok,keep,
rev_5,not_built,not_researched,ok,deprecate_candidate,
size,ok,weak,redundant,review,weak_rank_ic;high_corr_with_bp;high_corr_with_ep
turnover_20,not_built,ok,ok,keep,
vol_20,not_built,ok,ok,keep,
