trade_date,asset,weight,shares,close,market_value
2025-12-31,600000.SH,0.09068871184302678,7500,12.44,93300.0
2025-12-31,000001.SZ,0.05988954224540463,5400,11.41,61614.0
2025-12-31,000002.SZ,0.02214729152565236,4900,4.65,22785.0
