trade_date,asset,side,price,shares,amount,cost
2024-01-03,000002.SZ,BUY,10.15,4900,49735.0,39.788
2024-01-03,000001.SZ,BUY,9.19,5400,49626.0,39.700799999999994
2024-01-03,600000.SH,BUY,6.59,7500,49425.0,39.54
2024-01-03,300750.SZ,BUY,156.1,300,46830.0,37.464
